episode: 2, average score: 30.1, best score: 46.08, steps: 2005
episode: 2, average score: 30.1, best score: 46.08, steps: 2055
episode: 2, average score: 30.1, best score: 46.08, steps: 2105
episode: 2, average score: 30.1, best score: 46.08, steps: 2155
episode: 2, average score: 30.1, best score: 46.08, steps: 2205
episode: 2, average score: 30.1, best score: 46.08, steps: 2255
episode: 2, average score: 30.1, best score: 46.08, steps: 2305
episode: 2, average score: 30.1, best score: 46.08, steps: 2355
episode: 2, average score: 30.1, best score: 46.08, steps: 2405
episode: 2, average score: 30.1, best score: 46.08, steps: 2455
episode: 2, average score: 30.1, best score: 46.08, steps: 2505
episode: 2, average score: 30.1, best score: 46.08, steps: 2555
episode: 2, average score: 30.1, best score: 46.08, steps: 2605
episode: 2, average score: 30.1, best score: 46.08, steps: 2655
episode: 2, average score: 30.1, best score: 46.08, steps: 2705
episode: 2, average score: 30.1, best score: 46.08, steps: 2755
episode: 2, average score: 30.1, best score: 46.08, steps: 2805
episode: 2, average score: 30.1, best score: 46.08, steps: 2855
episode: 2, average score: 30.1, best score: 46.08, steps: 2905
episode: 2, average score: 30.1, best score: 46.08, steps: 2955
episode: 3, average score: 28.4, best score: 46.08, steps: 3005
episode: 3, average score: 28.4, best score: 46.08, steps: 3055
episode: 3, average score: 28.4, best score: 46.08, steps: 3105
episode: 3, average score: 28.4, best score: 46.08, steps: 3155
episode: 3, average score: 28.4, best score: 46.08, steps: 3205
episode: 3, average score: 28.4, best score: 46.08, steps: 3255
episode: 3, average score: 28.4, best score: 46.08, steps: 3305
episode: 3, average score: 28.4, best score: 46.08, steps: 3355
episode: 3, average score: 28.4, best score: 46.08, steps: 3405
episode: 3, average score: 28.4, best score: 46.08, steps: 3455
episode: 3, average score: 28.4, best score: 46.08, steps: 3505
episode: 3, average score: 28.4, best score: 46.08, steps: 3555
episode: 3, average score: 28.4, best score: 46.08, steps: 3605
episode: 3, average score: 28.4, best score: 46.08, steps: 3655
episode: 3, average score: 28.4, best score: 46.08, steps: 3705
episode: 3, average score: 28.4, best score: 46.08, steps: 3755
episode: 3, average score: 28.4, best score: 46.08, steps: 3805
episode: 3, average score: 28.4, best score: 46.08, steps: 3855
episode: 3, average score: 28.4, best score: 46.08, steps: 3905
episode: 4, average score: 25.1, best score: 46.08, steps: 3955
episode: 4, average score: 25.1, best score: 46.08, steps: 4005
episode: 4, average score: 25.1, best score: 46.08, steps: 4055
episode: 4, average score: 25.1, best score: 46.08, steps: 4105
episode: 4, average score: 25.1, best score: 46.08, steps: 4155
episode: 4, average score: 25.1, best score: 46.08, steps: 4205
episode: 4, average score: 25.1, best score: 46.08, steps: 4255
episode: 4, average score: 25.1, best score: 46.08, steps: 4305
episode: 4, average score: 25.1, best score: 46.08, steps: 4355
episode: 4, average score: 25.1, best score: 46.08, steps: 4405
episode: 4, average score: 25.1, best score: 46.08, steps: 4455
episode: 4, average score: 25.1, best score: 46.08, steps: 4505
episode: 4, average score: 25.1, best score: 46.08, steps: 4555
episode: 4, average score: 25.1, best score: 46.08, steps: 4605
episode: 4, average score: 25.1, best score: 46.08, steps: 4655
episode: 4, average score: 25.1, best score: 46.08, steps: 4705
episode: 4, average score: 25.1, best score: 46.08, steps: 4755
episode: 4, average score: 25.1, best score: 46.08, steps: 4805
episode: 4, average score: 25.1, best score: 46.08, steps: 4855
episode: 5, average score: 13.1, best score: 46.08, steps: 4905
episode: 5, average score: 13.1, best score: 46.08, steps: 4955
episode: 5, average score: 13.1, best score: 46.08, steps: 5005
episode: 5, average score: 13.1, best score: 46.08, steps: 5055
episode: 5, average score: 13.1, best score: 46.08, steps: 5105
episode: 5, average score: 13.1, best score: 46.08, steps: 5155
episode: 5, average score: 13.1, best score: 46.08, steps: 5205
